# Ultra-dense + color (420544 points)
# Format: x y r g b
#
-1.000487 1.060000 0.0000 0.0000 0.0000
-0.995996 1.060000 0.0000 0.0000 0.0000
-0.991504 1.060000 0.0000 0.0000 0.0000
-0.987013 1.060000 0.0000 0.0000 0.0000
-0.982521 1.060000 0.0000 0.0000 0.0000
-0.978030 1.060000 0.0000 0.0000 0.0000
-0.973538 1.060000 0.0000 0.0000 0.0000
-0.969047 1.060000 0.0000 0.0000 0.0000
-0.964555 1.060000 0.0000 0.0000 0.0000
-0.960064 1.060000 0.0000 0.0000 0.0000
-0.955572 1.060000 0.0000 0.0000 0.0000
-0.951081 1.060000 0.0000 0.0000 0.0000
-0.946589 1.060000 0.0000 0.0000 0.0000
-0.942097 1.060000 0.0000 0.0000 0.0000
-0.937606 1.060000 0.0000 0.0000 0.0000
-0.933114 1.060000 0.0000 0.0000 0.0000
-0.928623 1.060000 0.0000 0.0000 0.0000
-0.924131 1.060000 0.0000 0.0000 0.0000
-0.919640 1.060000 0.0000 0.0000 0.0000
-0.915148 1.060000 0.0000 0.0000 0.0000
-0.910657 1.060000 0.0000 0.0000 0.0000
-0.906165 1.060000 0.0000 0.0000 0.0000
-0.901674 1.060000 0.0000 0.0000 0.0000
-0.897182 1.060000 0.0000 0.0000 0.0000
-0.892691 1.060000 0.0000 0.0000 0.0000
-0.888199 1.060000 0.0000 0.0000 0.0000
-0.883708 1.060000 0.0000 0.0000 0.0000
-0.879216 1.060000 0.0000 0.0000 0.0000
-0.874725 1.060000 0.0000 0.0000 0.0000
-0.870233 1.060000 0.0000 0.0000 0.0000
-0.865742 1.060000 0.0000 0.0000 0.0000
-0.861250 1.060000 0.0000 0.0000 0.0000
-0.856758 1.060000 0.0000 0.0000 0.0000
-0.852267 1.060000 0.0000 0.0000 0.0000
-0.847775 1.060000 0.0000 0.0000 0.0000
-0.843284 1.060000 0.0000 0.0000 0.0000
-0.838792 1.060000 0.0000 0.0000 0.0000
-0.834301 1.060000 0.0000 0.0000 0.0000
