# Rich high-density colored portrait coordinates
# Format: x y r g b   (r,g,b in 0-1 range)
# Total points: 376217
# Sorted top-to-bottom for sequential assembly
# Image: formal suit portrait
#
0.026224 0.945443 0.9373 0.9294 0.9333
0.030365 0.945443 0.9333 0.9255 0.9294
0.034505 0.945443 0.8706 0.8627 0.8667
0.038646 0.945443 0.8549 0.8510 0.8431
0.042786 0.945443 0.8431 0.8392 0.8314
0.046927 0.945443 0.8706 0.8549 0.8510
0.051068 0.945443 0.8980 0.8824 0.8784
0.013802 0.944063 0.9020 0.8863 0.8902
0.017943 0.944063 0.8275 0.8118 0.8157
0.022083 0.944063 0.8353 0.8196 0.8235
0.026224 0.944063 0.7882 0.7725 0.7765
0.030365 0.944063 0.7608 0.7451 0.7490
0.034505 0.944063 0.6549 0.6392 0.6431
0.038646 0.944063 0.6314 0.6157 0.6118
0.042786 0.944063 0.6157 0.6000 0.5961
0.046927 0.944063 0.6235 0.6078 0.6039
0.051068 0.944063 0.6902 0.6745 0.6706
0.055208 0.944063 0.8235 0.8078 0.8039
0.059349 0.944063 0.8941 0.8902 0.8824
0.009661 0.942682 0.9059 0.8980 0.9020
0.013802 0.942682 0.6706 0.6549 0.6588
0.017943 0.942682 0.5569 0.5412 0.5451
0.022083 0.942682 0.5569 0.5412 0.5451
0.026224 0.942682 0.4941 0.4784 0.4824
0.030365 0.942682 0.4706 0.4549 0.4588
0.034505 0.942682 0.3725 0.3569 0.3608
0.038646 0.942682 0.3333 0.3176 0.3137
0.042786 0.942682 0.3373 0.3216 0.3176
0.046927 0.942682 0.3569 0.3412 0.3373
0.051068 0.942682 0.4196 0.4039 0.4000
0.055208 0.942682 0.5569 0.5412 0.5373
0.059349 0.942682 0.7137 0.6980 0.6941
0.063490 0.942682 0.8314 0.8275 0.8196
0.067630 0.942682 0.8745 0.8706 0.8627
0.071771 0.942682 0.9255 0.9098 0.9137
0.005521 0.941302 0.8980 0.8824 0.8863
0.009661 0.941302 0.6039 0.5882 0.5922
0.013802 0.941302 0.4078 0.3922 0.3961
0.017943 0.941302 0.3137 0.2902 0.2980
0.022083 0.941302 0.3098 0.2863 0.2941
0.026224 0.941302 0.2588 0.2353 0.2431
0.030365 0.941302 0.2471 0.2235 0.2314
0.034505 0.941302 0.2039 0.1804 0.1882
0.038646 0.941302 0.2157 0.1922 0.1922
0.042786 0.941302 0.2235 0.2000 0.2000
0.046927 0.941302 0.2078 0.1843 0.1843
0.051068 0.941302 0.2392 0.2157 0.2157
0.055208 0.941302 0.3137 0.2902 0.2902
0.059349 0.941302 0.3961 0.3804 0.3765
0.063490 0.941302 0.5137 0.4980 0.4941
0.067630 0.941302 0.5608 0.5451 0.5412
0.071771 0.941302 0.5922 0.5686 0.5765
0.075911 0.941302 0.7373 0.7216 0.7255
0.080052 0.941302 0.9098 0.8863 0.8941
0.084193 0.941302 0.9451 0.9294 0.9333
0.000000 0.939922 0.7765 0.7608 0.7647
0.004141 0.939922 0.6863 0.6706 0.6745
0.008281 0.939922 0.4039 0.3882 0.3922
0.012422 0.939922 0.3059 0.2902 0.2941
