# Medium-density face coordinates (every 2nd point)
# Format: x y  (normalized, origin at image center, Y positive upward)
# Total points: 30892
# Sorted top-to-bottom
#
0.016966 1.014849
0.032389 1.014849
-0.003085 1.013307
0.012339 1.013307
0.027762 1.013307
0.043185 1.013307
-0.009254 1.011765
0.006169 1.011765
0.021593 1.011765
0.037016 1.011765
-0.023135 1.010222
-0.007712 1.010222
0.007712 1.010222
0.023135 1.010222
0.038558 1.010222
0.053981 1.010222
-0.024677 1.008680
-0.009254 1.008680
0.006169 1.008680
0.021593 1.008680
0.037016 1.008680
0.052439 1.008680
0.067862 1.008680
-0.033931 1.007138
-0.018508 1.007138
-0.003085 1.007138
0.012339 1.007138
0.027762 1.007138
0.043185 1.007138
0.058608 1.007138
0.074032 1.007138
-0.037016 1.005595
-0.021593 1.005595
-0.006169 1.005595
0.009254 1.005595
0.024677 1.005595
0.040100 1.005595
0.055524 1.005595
0.070947 1.005595
0.086370 1.005595
-0.052439 1.004053
-0.037016 1.004053
-0.021593 1.004053
-0.006169 1.004053
0.009254 1.004053
0.024677 1.004053
0.040100 1.004053
0.055524 1.004053
0.070947 1.004053
0.086370 1.004053
0.101793 1.004053
-0.047812 1.002511
-0.032389 1.002511
-0.016966 1.002511
-0.001542 1.002511
0.013881 1.002511
0.029304 1.002511
0.046270 1.002511
0.061693 1.002511
0.077116 1.002511
0.092539 1.002511
0.107963 1.002511
-0.049354 1.000968
-0.033931 1.000968
-0.018508 1.000968
-0.003085 1.000968
0.012339 1.000968
0.027762 1.000968
0.043185 1.000968
0.058608 1.000968
0.078659 1.000968
0.094082 1.000968
0.109505 1.000968
-0.055524 0.999426
-0.040100 0.999426
-0.024677 0.999426
-0.009254 0.999426
0.006169 0.999426
0.021593 0.999426
0.037016 0.999426
0.052439 0.999426
0.067862 0.999426
0.083286 0.999426
0.098709 0.999426
0.114132 0.999426
-0.053981 0.997884
-0.038558 0.997884
-0.023135 0.997884
-0.007712 0.997884
0.032389 0.997884
0.047812 0.997884
0.063235 0.997884
0.078659 0.997884
0.094082 0.997884
0.109505 0.997884
-0.064778 0.996341
-0.044727 0.996341
-0.029304 0.996341
-0.013881 0.996341
0.023135 0.996341
0.038558 0.996341
0.053981 0.996341
0.069405 0.996341
0.084828 0.996341
0.100251 0.996341
0.115674 0.996341
-0.064778 0.994799
-0.046270 0.994799
-0.030846 0.994799
-0.001542 0.994799
0.013881 0.994799
0.029304 0.994799
0.044727 0.994799
0.077116 0.994799
0.092539 0.994799
0.107963 0.994799
0.123386 0.994799
-0.061693 0.993257
-0.046270 0.993257
-0.030846 0.993257
0.000000 0.993257
0.015423 0.993257
0.030846 0.993257
0.095624 0.993257
0.111047 0.993257
0.126471 0.993257
-0.069405 0.991714
-0.053981 0.991714
-0.038558 0.991714
-0.007712 0.991714
0.018508 0.991714
0.092539 0.991714
0.107963 0.991714
0.123386 0.991714
0.138809 0.991714
-0.064778 0.990172
-0.049354 0.990172
-0.023135 0.990172
-0.007712 0.990172
0.018508 0.990172
0.100251 0.990172
0.115674 0.990172
0.131098 0.990172
-0.080201 0.988630
-0.064778 0.988630
-0.049354 0.988630
-0.033931 0.988630
-0.018508 0.988630
-0.001542 0.988630
0.013881 0.988630
0.029304 0.988630
0.044727 0.988630
0.066320 0.988630
0.081743 0.988630
0.121844 0.988630
0.137267 0.988630
-0.083286 0.987087
-0.067862 0.987087
-0.052439 0.987087
-0.037016 0.987087
-0.021593 0.987087
-0.006169 0.987087
0.009254 0.987087
0.029304 0.987087
0.044727 0.987087
0.060151 0.987087
0.075574 0.987087
0.090997 0.987087
0.121844 0.987087
0.137267 0.987087
0.152690 0.987087
-0.075574 0.985545
-0.060151 0.985545
-0.044727 0.985545
-0.029304 0.985545
-0.013881 0.985545
0.001542 0.985545
0.016966 0.985545
0.032389 0.985545
0.047812 0.985545
0.063235 0.985545
0.078659 0.985545
0.094082 0.985545
0.124928 0.985545
0.140352 0.985545
0.155775 0.985545
-0.083286 0.984003
-0.067862 0.984003
-0.052439 0.984003
-0.037016 0.984003
-0.021593 0.984003
-0.006169 0.984003
0.009254 0.984003
0.024677 0.984003
0.040100 0.984003
0.061693 0.984003
0.077116 0.984003
0.092539 0.984003
0.107963 0.984003
0.135725 0.984003
0.151148 0.984003
-0.094082 0.982461
-0.078659 0.982461
-0.063235 0.982461
-0.047812 0.982461
-0.032389 0.982461
-0.016966 0.982461
-0.001542 0.982461
0.013881 0.982461
0.029304 0.982461
0.044727 0.982461
0.060151 0.982461
0.080201 0.982461
0.095624 0.982461
0.111047 0.982461
0.126471 0.982461
0.141894 0.982461
0.157317 0.982461
-0.094082 0.980918
-0.078659 0.980918
-0.063235 0.980918
-0.047812 0.980918
-0.032389 0.980918
-0.016966 0.980918
-0.001542 0.980918
0.013881 0.980918
0.029304 0.980918
0.044727 0.980918
0.060151 0.980918
0.075574 0.980918
0.090997 0.980918
0.106420 0.980918
0.121844 0.980918
0.137267 0.980918
0.152690 0.980918
-0.128013 0.979376
-0.112590 0.979376
-0.097166 0.979376
-0.081743 0.979376
-0.066320 0.979376
-0.050897 0.979376
-0.035473 0.979376
-0.020050 0.979376
-0.004627 0.979376
0.010796 0.979376
0.026220 0.979376
0.041643 0.979376
0.057066 0.979376
0.072489 0.979376
0.087912 0.979376
